ts,o,h,l,c,v
1790249820,0.00017538138463556069,0.00018082059846818491,0.00017538138463556069,0.00017891918619216367,428.60332885218565
1790249880,0.00017891918619216367,0.00018471703156435908,0.00017891918619216367,0.00018245897143491746,538.4299502798666
1790249940,0.00018245897143491746,0.0001843095350628753,0.0001817788765920975,0.0001817788765920975,98.75314887767486
1790250000,0.0001817788765920975,0.00018427092526603336,0.00016944729365701202,0.00016944729365701202,1093.9611866005798
1790250060,0.00016944729365701202,0.00017468345347151402,0.00016944729365701202,0.00017468345347151402,378.5515469170537
1790250120,0.00017468345347151402,0.00017754303577533623,0.00017468345347151402,0.00017486878777549502,380.825311621089
1790250180,0.00017486878777549502,0.0001832235581560205,0.00017486878777549502,0.000183097495853896,744.2780274576803
1790250240,0.000183097495853896,0.0001831199698462546,0.00017952014700150585,0.00017952014700150585,90.72321893947498
1790250300,0.00017952014700150585,0.00018748039289533835,0.00017308204822332463,0.00018473983441994892,1604.5394190448958
1790250360,0.00018473983441994892,0.0001876469702219383,0.00018347131016076848,0.0001876469702219383,254.10076525980202
1790250420,0.0001876469702219383,0.0001876469702219383,0.00018499480124003703,0.00018744415894918795,35.01948771688318
1790250480,0.00018744415894918795,0.00018785952883764126,0.00018481891962990422,0.00018750659392393652,132.8867799065793
1790250540,0.00018750659392393652,0.00019064182134268654,0.00018750659392393652,0.00019064182134268654,180.24278865742875
1790250600,0.00019064182134268654,0.00019607053480914967,0.00019064182134268654,0.00019476723035659837,481.3245249645547
1790250660,0.00019476723035659837,0.00019799186872477125,0.00019232036807490958,0.0001954337523926324,305.754967246053
1790250720,0.0001954337523926324,0.0001954337523926324,0.00019080144150440673,0.00019080144150440673,117.58038907280014
1790250780,0.00019080144150440673,0.00019469484434252038,0.00019080144150440673,0.00019209566610216072,73.72162072616362
1790250840,0.00019209566610216072,0.00019472300957111628,0.0001879791565465945,0.0001879791565465945,727.9439615679828
1790250900,0.0001879791565465945,0.0002048485824373444,0.0001879791565465945,0.00020280271125332384,1244.3141919506577
1790250960,0.00020280271125332384,0.00020280271125332384,0.0001951781207139621,0.0001951781207139621,588.6144207587887
1790251020,0.0001951781207139621,0.00019647507642195873,0.00019131437604771198,0.00019131437604771198,251.2309470362322
1790251080,0.00019131437604771198,0.0001939141882864068,0.00019131437604771198,0.00019133316405302344,3.362163092801481
1790251140,0.00019133316405302344,0.00020236872752650597,0.00018963040248920346,0.00020236872752650597,922.5507898899119
1790251200,0.00020236872752650597,0.00020399035088675726,0.0001972710757543565,0.0001972710757543565,264.94504433704583
1790251260,0.0001972710757543565,0.0001972710757543565,0.00019448091692549923,0.00019692561624671422,164.15468760254925
1790251320,0.00019692561624671422,0.0001979339658085406,0.00019267324118920246,0.00019305389603007804,488.0091417824639
1790251380,0.00019305389603007804,0.00019651463474225787,0.00019305389603007804,0.00019651463474225787,112.30010351387723
1790251440,0.00019651463474225787,0.0001974267594281915,0.00019396078607925986,0.00019396078607925986,42.256781591186964
1790251500,0.00019396078607925986,0.0001970677061223092,0.00019316655189438624,0.00019316655189438624,206.2577550185735
1790251560,0.00019316655189438624,0.00019316655189438624,0.0001873999428064355,0.0001873999428064355,303.5799514486664
1790251620,0.0001873999428064355,0.00018964732529443284,0.00018409761491315095,0.0001850594325882796,408.32061387034895
1790251680,0.0001850594325882796,0.00018569201421874974,0.0001850594325882796,0.00018569201421874974,27.202047396329746
1790251740,0.00018569201421874974,0.00018569201421874974,0.0001793773275231248,0.00018091729285102403,323.4765628471087
1790251800,0.00018091729285102403,0.00018120165957299215,0.0001565690978140094,0.0001670726761906526,2890.46739797134
1790251860,0.0001670726761906526,0.0001670726761906526,0.00016401834047699386,0.00016401834047699386,100.98256729734115
1790251920,0.00016401834047699386,0.0001688774636967354,0.00016194003107393616,0.0001688774636967354,663.0258640882068
1790251980,0.0001688774636967354,0.00017063198375998387,0.00016800847204537702,0.00017063198375998387,76.43252150387227
1790252040,0.00017063198375998387,0.00017063198375998387,0.00016393997202826183,0.00016393997202826183,342.79584179972295
1790252100,0.00016393997202826183,0.00016725603821280316,0.00016358354195143018,0.00016564278780393415,198.85892266420691
1790252160,0.00016564278780393415,0.0001681100532865012,0.00016187732669359638,0.00016359677297378476,294.24146078729365
1790252220,0.00016359677297378476,0.00016359677297378476,0.0001590292638380236,0.0001590292638380236,173.24635278805
1790252280,0.0001590292638380236,0.00016178880100701384,0.0001581773402423546,0.00016124671539953752,332.6235101962175
1790252340,0.00016124671539953752,0.00016492425688704058,0.00016124671539953752,0.00016492425688704058,195.35133869859644
1790252400,0.00016492425688704058,0.00016674402283061828,0.00016294313888881478,0.00016674402283061828,116.35999472502654
1790252460,0.00016674402283061828,0.00016674402283061828,0.00014627701731839335,0.0001499248853799568,1678.3587131382963
1790252520,0.0001499248853799568,0.00015336529928104255,0.00013889098607118474,0.00014056847903402378,1043.2694188668224
1790252580,0.00014056847903402378,0.00014056847903402378,0.00011035833682214761,0.00012789587311431855,5777.579472706282
1790252640,0.00012789587311431855,0.0001386241850248561,0.00012603920041743858,0.0001386241850248561,899.8160928311266
1790252700,0.0001386241850248561,0.00014025061682974851,0.0001374929906668679,0.00013986541782549274,266.7412298452168
1790252760,0.00013986541782549274,0.00014035091712534192,0.00013354478000662522,0.00013354478000662522,419.9724256556375
1790252820,0.00013354478000662522,0.00013750207061450286,0.0001128904816506764,0.00012015297626962335,3555.5342706848987
1790252880,0.00012015297626962335,0.00012062650248189075,0.00010114753482470994,0.00010657778778420205,2530.5469511793094
