,Arsenal,Aston Villa,Bournemouth,Brentford,Brighton,Burnley,Chelsea,Crystal Palace,Everton,Fulham,Leeds,Liverpool,Man City,Man United,Newcastle,Nott'm Forest,Sunderland,Tottenham,West Ham,Wolves
2025-11-26,17489,2373,1398,1395,1861,1587,16016,2610,3102,1304,1954,11013,6261,7403,2928,2639,2021,6149,2202,2190
2025-11-27,17009,3736,1380,1302,1542,1141,9711,3662,2639,1206,2077,14175,5129,6980,2439,5527,1769,4740,2298,2136
2025-11-28,10424,2979,1254,1165,1361,1059,8107,2799,2335,1218,2006,8118,4541,6338,2250,3695,1789,3492,2255,1822
2025-11-29,9512,2618,2702,3316,1728,2043,7863,2791,5243,3895,5489,7136,6886,7252,5339,2883,5928,6588,2775,2553
2025-11-30,17475,4631,1934,2950,3468,1603,15854,8936,3187,2579,3063,9949,6129,11864,4333,3909,4983,5670,11239,5497
2025-12-01,9735,3255,1530,2075,2382,1222,9057,3484,2331,1631,2250,6758,5348,8085,3105,2436,3497,4080,4243,3076
2025-12-02,8001,2780,2819,2084,2030,1209,7693,2643,3196,4556,2395,6046,7756,7437,4709,2358,3364,5734,2874,2591
2025-12-03,11124,4362,1867,4204,3541,1884,9182,2961,3040,3056,6305,7582,7016,7659,3245,2966,8874,4505,2956,4032
2025-12-04,10425,4926,1513,2184,2599,1517,8013,2720,2507,1768,5822,6968,5576,12052,2979,2839,5402,3859,8639,4627
2025-12-05,7878,3267,1470,1480,1981,1239,5723,2278,2175,1503,3087,5284,5111,8261,2471,2225,3005,3299,3925,3208
2025-12-06,12522,16297,3181,2858,2191,2222,7460,2688,4836,1624,10440,9746,8168,7913,3552,3198,4947,5244,3101,3606
2025-12-07,7811,7584,1868,1816,4502,1578,5764,7288,4359,4399,5202,11147,6463,7682,3014,2632,2640,4307,4738,3587
2025-12-08,7132,5068,1548,1709,2096,1382,6250,4266,3131,1993,2923,10342,5803,12790,2850,2233,2319,4226,2876,23282
2025-12-09,7345,4837,1725,1607,1935,1315,7554,2944,2814,1499,2320,12972,6093,12184,2942,2208,2162,5527,2536,10755
2025-12-10,9638,3663,1419,1311,1721,1332,6533,2393,2486,1291,2200,9966,10912,8699,3802,2052,2310,5276,2120,3408
2025-12-11,9533,4639,1222,1236,1574,1054,5496,3552,2264,1254,1916,7250,8027,7872,3047,3870,2204,3951,2119,2919
2025-12-12,6637,3671,1277,1295,1646,1094,4962,3243,2445,1273,1885,6248,5153,7172,2581,2537,2573,3439,1981,2889
2025-12-13,9820,3659,1651,1472,4342,4827,7304,2950,4062,3595,2289,9670,5660,7030,2722,2191,3464,3625,2423,9889
2025-12-14,8579,6517,2003,4582,2370,2271,6416,5776,2950,2180,4621,7750,8724,7588,7054,5225,17022,5249,4370,5756
2025-12-15,7021,4907,7744,2251,1688,1410,6198,2856,2416,1648,2608,6343,6550,13181,4530,3251,8068,4575,2854,3197
2025-12-16,6412,3615,3887,1753,1554,1131,8437,2549,2181,1621,2240,6114,5700,10522,3338,2314,3911,4082,2438,2547
2025-12-17,6564,2744,1931,2545,1520,1162,8307,2718,2070,4017,1987,5988,7455,7640,5548,1987,2931,3530,2292,2246
2025-12-18,6345,2604,1482,1737,1580,1058,6399,5044,2061,1673,1747,5327,6643,7210,3745,1838,2608,3313,2212,2161
2025-12-19,5745,2627,1445,1073,1400,1030,5277,3855,2109,1271,1767,4778,5132,6762,2559,1589,2379,3040,2058,2455
